Data Point - T&A	 g2 (0) - T&A	Data Point - T&B	 g2 (0) - T&B	Data Point - B&C	 g2 (0) - B&C	Data Point - T&C	 g2 (0) - T&C	Data Point - B&C	 g2 (0) - B&C	
2689	1,56348	2689	NaN	2689	NaN	2689	NaN	2689	NaN	
2690	1,59689	2690	NaN	2690	NaN	2690	NaN	2690	NaN	
2691	1,6118	2691	NaN	2691	NaN	2691	NaN	2691	NaN	
2692	1,50481	2692	NaN	2692	NaN	2692	NaN	2692	NaN	
2693	1,58799	2693	NaN	2693	NaN	2693	NaN	2693	NaN	
2694	1,56775	2694	NaN	2694	NaN	2694	NaN	2694	NaN	
2695	1,75245	2695	NaN	2695	NaN	2695	NaN	2695	NaN	
2696	2,68776	2696	NaN	2696	NaN	2696	NaN	2696	NaN	
2697	3,12558	2697	NaN	2697	NaN	2697	NaN	2697	NaN	
2698	3,19045	2698	NaN	2698	NaN	2698	NaN	2698	NaN	
2699	2,4515	2699	NaN	2699	NaN	2699	NaN	2699	NaN	
2700	1,69339	2700	NaN	2700	NaN	2700	NaN	2700	NaN	
2701	1,5702	2701	NaN	2701	NaN	2701	NaN	2701	NaN	
2702	1,53856	2702	NaN	2702	NaN	2702	NaN	2702	NaN	
2703	1,53093	2703	NaN	2703	NaN	2703	NaN	2703	NaN	
2704	1,48287	2704	NaN	2704	NaN	2704	NaN	2704	NaN	
2705	1,52139	2705	NaN	2705	NaN	2705	NaN	2705	NaN	
2706	1,5526	2706	NaN	2706	NaN	2706	NaN	2706	NaN	
2707	1,52483	2707	NaN	2707	NaN	2707	NaN	2707	NaN	
2708	1,73251	2708	NaN	2708	NaN	2708	NaN	2708	NaN	
2709	1,74933	2709	NaN	2709	NaN	2709	NaN	2709	NaN	
2710	1,72689	2710	NaN	2710	NaN	2710	NaN	2710	NaN	
2711	1,72712	2711	NaN	2711	NaN	2711	NaN	2711	NaN	
2712	1,77384	2712	NaN	2712	NaN	2712	NaN	2712	NaN	
2713	1,67757	2713	NaN	2713	NaN	2713	NaN	2713	NaN	
2714	1,62946	2714	NaN	2714	NaN	2714	NaN	2714	NaN	
2715	1,70091	2715	NaN	2715	NaN	2715	NaN	2715	NaN	
2716	1,63045	2716	NaN	2716	NaN	2716	NaN	2716	NaN	
2717	1,62332	2717	NaN	2717	NaN	2717	NaN	2717	NaN	
2718	1,6455	2718	NaN	2718	NaN	2718	NaN	2718	NaN	
2719	1,69303	2719	NaN	2719	NaN	2719	NaN	2719	NaN	
2720	1,63163	2720	NaN	2720	NaN	2720	NaN	2720	NaN	
2721	1,62165	2721	NaN	2721	NaN	2721	NaN	2721	NaN	
2722	1,63789	2722	NaN	2722	NaN	2722	NaN	2722	NaN	
