Data Point - T&A	 g2 (0) - T&A	Data Point - T&B	 g2 (0) - T&B	Data Point - B&C	 g2 (0) - B&C	Data Point - T&C	 g2 (0) - T&C	Data Point - B&C	 g2 (0) - B&C	
2032	0,9856	2032	NaN	2032	NaN	2032	NaN	2032	NaN	
2033	1,0216	2033	NaN	2033	NaN	2033	NaN	2033	NaN	
2034	1,01751	2034	NaN	2034	NaN	2034	NaN	2034	NaN	
2035	1,00539	2035	NaN	2035	NaN	2035	NaN	2035	NaN	
2036	0,996151	2036	NaN	2036	NaN	2036	NaN	2036	NaN	
2037	1,0516	2037	NaN	2037	NaN	2037	NaN	2037	NaN	
2038	1,00156	2038	NaN	2038	NaN	2038	NaN	2038	NaN	
2039	0,981506	2039	NaN	2039	NaN	2039	NaN	2039	NaN	
2040	0,989726	2040	NaN	2040	NaN	2040	NaN	2040	NaN	
2041	1,01867	2041	NaN	2041	NaN	2041	NaN	2041	NaN	
2042	0,983605	2042	NaN	2042	NaN	2042	NaN	2042	NaN	
2043	1,00224	2043	NaN	2043	NaN	2043	NaN	2043	NaN	
2044	1,02865	2044	NaN	2044	NaN	2044	NaN	2044	NaN	
2045	0,993851	2045	NaN	2045	NaN	2045	NaN	2045	NaN	
2046	1,01465	2046	NaN	2046	NaN	2046	NaN	2046	NaN	
2047	1,00083	2047	NaN	2047	NaN	2047	NaN	2047	NaN	
2048	1,02163	2048	NaN	2048	NaN	2048	NaN	2048	NaN	
2049	1,00308	2049	NaN	2049	NaN	2049	NaN	2049	NaN	
2050	1,02449	2050	NaN	2050	NaN	2050	NaN	2050	NaN	
2051	1,01144	2051	NaN	2051	NaN	2051	NaN	2051	NaN	
2052	1,00705	2052	NaN	2052	NaN	2052	NaN	2052	NaN	
2053	0,988591	2053	NaN	2053	NaN	2053	NaN	2053	NaN	
2054	0,975552	2054	NaN	2054	NaN	2054	NaN	2054	NaN	
2055	0,966152	2055	NaN	2055	NaN	2055	NaN	2055	NaN	
2056	0,997615	2056	NaN	2056	NaN	2056	NaN	2056	NaN	
2057	0,993593	2057	NaN	2057	NaN	2057	NaN	2057	NaN	
2058	0,986374	2058	NaN	2058	NaN	2058	NaN	2058	NaN	
2059	0,997485	2059	NaN	2059	NaN	2059	NaN	2059	NaN	
2060	0,993378	2060	NaN	2060	NaN	2060	NaN	2060	NaN	
2061	0,98999	2061	NaN	2061	NaN	2061	NaN	2061	NaN	
2062	0,965962	2062	NaN	2062	NaN	2062	NaN	2062	NaN	
2063	0,978139	2063	NaN	2063	NaN	2063	NaN	2063	NaN	
2064	1,00279	2064	NaN	2064	NaN	2064	NaN	2064	NaN	
2065	0,992263	2065	NaN	2065	NaN	2065	NaN	2065	NaN	
2066	0,995828	2066	NaN	2066	NaN	2066	NaN	2066	NaN	
2067	1,00448	2067	NaN	2067	NaN	2067	NaN	2067	NaN	
2068	1,00596	2068	NaN	2068	NaN	2068	NaN	2068	NaN	
2069	1,02824	2069	NaN	2069	NaN	2069	NaN	2069	NaN	
2070	1,01322	2070	NaN	2070	NaN	2070	NaN	2070	NaN	
2071	0,993682	2071	NaN	2071	NaN	2071	NaN	2071	NaN	
2072	1,03276	2072	NaN	2072	NaN	2072	NaN	2072	NaN	
2073	0,993799	2073	NaN	2073	NaN	2073	NaN	2073	NaN	
2074	1,01156	2074	NaN	2074	NaN	2074	NaN	2074	NaN	
2075	1,00587	2075	NaN	2075	NaN	2075	NaN	2075	NaN	
2076	1,01928	2076	NaN	2076	NaN	2076	NaN	2076	NaN	
2077	1,00013	2077	NaN	2077	NaN	2077	NaN	2077	NaN	
2078	1,00319	2078	NaN	2078	NaN	2078	NaN	2078	NaN	
2079	0,970985	2079	NaN	2079	NaN	2079	NaN	2079	NaN	
2080	1,00341	2080	NaN	2080	NaN	2080	NaN	2080	NaN	
2081	0,983149	2081	NaN	2081	NaN	2081	NaN	2081	NaN	
2082	1,01112	2082	NaN	2082	NaN	2082	NaN	2082	NaN	
2083	1,01034	2083	NaN	2083	NaN	2083	NaN	2083	NaN	
2084	1,00071	2084	NaN	2084	NaN	2084	NaN	2084	NaN	
2085	1,01146	2085	NaN	2085	NaN	2085	NaN	2085	NaN	
2086	0,982741	2086	NaN	2086	NaN	2086	NaN	2086	NaN	
2087	0,995762	2087	NaN	2087	NaN	2087	NaN	2087	NaN	
2088	1,01279	2088	NaN	2088	NaN	2088	NaN	2088	NaN	
2089	1,0008	2089	NaN	2089	NaN	2089	NaN	2089	NaN	
2090	1,01009	2090	NaN	2090	NaN	2090	NaN	2090	NaN	
2091	1,01262	2091	NaN	2091	NaN	2091	NaN	2091	NaN	
2092	1,013	2092	NaN	2092	NaN	2092	NaN	2092	NaN	
2093	0,992359	2093	NaN	2093	NaN	2093	NaN	2093	NaN	
2094	0,990851	2094	NaN	2094	NaN	2094	NaN	2094	NaN	
2095	0,963766	2095	NaN	2095	NaN	2095	NaN	2095	NaN	
2096	1,00854	2096	NaN	2096	NaN	2096	NaN	2096	NaN	
2097	1,01023	2097	NaN	2097	NaN	2097	NaN	2097	NaN	
2098	1,02694	2098	NaN	2098	NaN	2098	NaN	2098	NaN	
2099	0,985319	2099	NaN	2099	NaN	2099	NaN	2099	NaN	
2100	0,9928	2100	NaN	2100	NaN	2100	NaN	2100	NaN	
2101	0,999732	2101	NaN	2101	NaN	2101	NaN	2101	NaN	
2102	1,00057	2102	NaN	2102	NaN	2102	NaN	2102	NaN	
2103	0,978148	2103	NaN	2103	NaN	2103	NaN	2103	NaN	
2104	1,00507	2104	NaN	2104	NaN	2104	NaN	2104	NaN	
2105	1,00807	2105	NaN	2105	NaN	2105	NaN	2105	NaN	
2106	0,964719	2106	NaN	2106	NaN	2106	NaN	2106	NaN	
2107	0,996816	2107	NaN	2107	NaN	2107	NaN	2107	NaN	
2108	0,991238	2108	NaN	2108	NaN	2108	NaN	2108	NaN	
2109	0,976408	2109	NaN	2109	NaN	2109	NaN	2109	NaN	
2110	1,01376	2110	NaN	2110	NaN	2110	NaN	2110	NaN	
2111	0,986055	2111	NaN	2111	NaN	2111	NaN	2111	NaN	
2112	1,00483	2112	NaN	2112	NaN	2112	NaN	2112	NaN	
2113	1,00774	2113	NaN	2113	NaN	2113	NaN	2113	NaN	
2114	1,00465	2114	NaN	2114	NaN	2114	NaN	2114	NaN	
2115	1,00546	2115	NaN	2115	NaN	2115	NaN	2115	NaN	
2116	1,02949	2116	NaN	2116	NaN	2116	NaN	2116	NaN	
2117	0,997054	2117	NaN	2117	NaN	2117	NaN	2117	NaN	
2118	0,975113	2118	NaN	2118	NaN	2118	NaN	2118	NaN	
2119	0,972815	2119	NaN	2119	NaN	2119	NaN	2119	NaN	
2120	0,995396	2120	NaN	2120	NaN	2120	NaN	2120	NaN	
2121	1,00148	2121	NaN	2121	NaN	2121	NaN	2121	NaN	
2122	1,023	2122	NaN	2122	NaN	2122	NaN	2122	NaN	
2123	0,993646	2123	NaN	2123	NaN	2123	NaN	2123	NaN	
2124	1,01182	2124	NaN	2124	NaN	2124	NaN	2124	NaN	
2125	1,01167	2125	NaN	2125	NaN	2125	NaN	2125	NaN	
2126	1,02894	2126	NaN	2126	NaN	2126	NaN	2126	NaN	
