Data Point - T&A	 g2 (0) - T&A	Data Point - T&B	 g2 (0) - T&B	Data Point - B&C	 g2 (0) - B&C	Data Point - T&C	 g2 (0) - T&C	Data Point - B&C	 g2 (0) - B&C	
1523	0,802039	1523	1,10316	1523	1,04324	1523	NaN	1523	NaN	
1524	1,29934	1524	1,20042	1524	0,937144	1524	NaN	1524	NaN	
1525	0,81626	1525	1,04939	1525	0,943252	1525	NaN	1525	NaN	
1526	1,13336	1526	1,02703	1526	1,38995	1526	NaN	1526	NaN	
1527	1,3829	1527	1,01439	1527	0,778258	1527	NaN	1527	NaN	
1528	1,19762	1528	1,31092	1528	0,986736	1528	NaN	1528	NaN	
1529	0,851351	1529	1,23413	1529	0,858153	1529	NaN	1529	NaN	
1530	0,949429	1530	0,825731	1530	1,02552	1530	NaN	1530	NaN	
1531	0,966791	1531	0,810861	1531	1,3928	1531	NaN	1531	NaN	
1532	0,877256	1532	0,896063	1532	1,16528	1532	NaN	1532	NaN	
1533	1,04903	1533	0,881607	1533	1,08517	1533	NaN	1533	NaN	
1534	0,640768	1534	0,968609	1534	1,11903	1534	NaN	1534	NaN	
1535	1,17498	1535	0,821215	1535	1,09762	1535	NaN	1535	NaN	
1536	0,795232	1536	0,95004	1536	1,07844	1536	NaN	1536	NaN	
1537	1,36487	1537	0,930903	1537	1,25195	1537	NaN	1537	NaN	
1538	0,893444	1538	1,06096	1538	0,702732	1538	NaN	1538	NaN	
1539	0,917595	1539	1,01874	1539	0,988601	1539	NaN	1539	NaN	
1540	0,801563	1540	1,02744	1540	0,889851	1540	NaN	1540	NaN	
1541	1,18663	1541	1,01135	1541	0,774951	1541	NaN	1541	NaN	
1542	1,07509	1542	1,19706	1542	1,26969	1542	NaN	1542	NaN	
1543	1,00229	1543	0,983513	1543	0,756896	1543	NaN	1543	NaN	
1544	0,7593	1544	0,88952	1544	0,961009	1544	NaN	1544	NaN	
1545	1,2114	1545	0,985757	1545	0,974887	1545	NaN	1545	NaN	
