Capture Duration (s) - A&B	g2(0) - A&B	
0,361178	0,949824	
0,562368	0,945546	
0,765783	0,966418	
0,966009	0,996938	
1,16672	1,0038	
1,36646	0,9951	
1,56731	0,991701	
1,76745	0,983626	
1,96862	0,984883	
2,16869	0,983882	
2,36907	0,99033	
2,57099	0,990612	
2,77226	0,987197	
2,97271	0,987346	
3,17347	0,986517	
3,37455	0,986669	
3,57499	0,991375	
3,77503	0,994211	
3,97627	0,995689	
4,1777	0,996584	
4,37841	0,99887	
4,57942	1,00033	
4,77985	0,999258	
4,98144	0,997003	
5,18197	0,996512	
5,38214	0,999415	
5,58302	1,00212	
5,78278	0,999128	
5,98374	0,999455	
6,18454	1,00125	
6,36994	1,00063	
6,57394	0,999006	
6,77598	0,997239	
6,97733	0,996875	
7,17788	0,995225	
7,38213	0,995746	
7,58219	0,993983	
7,78243	0,995057	
7,98403	0,995357	
8,1845	0,997262	
8,38471	0,99662	
8,58557	0,995915	
8,78562	0,995115	
8,98618	0,995168	
9,18731	0,996005	
9,38777	0,997153	
9,58842	0,996084	
9,79041	0,996107	
9,99048	0,995666	
10,1911	0,996085	
10,3919	0,995336	
10,5936	0,995838	
10,7936	0,99555	
10,9971	0,996725	
11,1998	0,99771	
11,4006	0,996463	
11,6037	0,996811	
11,8039	0,99586	
12,0091	0,996316	
12,2104	0,996665	
12,4113	0,995647	
12,6116	0,995358	
12,8118	0,996483	
13,0163	0,996871	
13,2175	0,995721	
13,4195	0,994873	
13,6029	0,994521	
13,8235	0,994711	
14,0238	0,995089	
14,2242	0,994601	
14,405	0,994284	
14,6281	0,994756	
14,8144	0,994034	
15,015	0,993443	
15,215	0,993722	
15,4157	0,9947	
15,6188	0,995157	
15,8211	0,995203	
16,0218	0,995836	
16,2274	0,996589	
16,4292	0,996282	
16,6312	0,997238	
16,8322	0,997667	
17,033	0,997911	
17,2334	0,998282	
17,4349	0,998866	
17,6355	0,998683	
17,8373	0,998664	
18,0374	0,999277	
18,2383	0,998919	
18,4386	0,998354	
18,6392	0,99841	
18,8424	0,998705	
19,0229	0,999143	
19,2433	0,999016	
19,4439	0,998756	
19,6445	0,998972	
19,8262	0,999443	
20,0482	0,998977	
20,2488	0,99802	
20,4492	0,99796	
20,6313	0,997965	
20,8328	0,997788	
21,0336	0,997774	
21,234	0,998268	
21,4381	0,997793	
21,6392	0,997842	
21,8398	0,997624	
22,0411	0,998055	
22,2424	0,998047	
22,4431	0,998117	
22,6439	0,997472	
22,8457	0,997888	
23,0466	0,997825	
23,2474	0,997623	
23,4478	0,997065	
23,6495	0,997138	
23,8498	0,997332	
24,0503	0,997704	
24,251	0,997763	
24,4523	0,997894	
24,6524	0,997056	
24,8527	0,996937	
25,0531	0,99681	
25,2534	0,996423	
25,4542	0,996352	
25,6549	0,996195	
25,8554	0,996118	
26,0559	0,995672	
26,2561	0,995377	
26,4572	0,995991	
26,6577	0,996083	
26,8585	0,996113	
27,0587	0,995769	
27,2598	0,995359	
27,46	0,995287	
27,6603	0,995046	
27,8616	0,994813	
28,0635	0,994701	
28,2655	0,994679	
28,4657	0,994428	
28,6662	0,994394	
28,8662	0,994886	
29,0669	0,994924	
