Capture Duration (s) - T&A&B	g2(0) - T&A&B	
0,361885	0,0346965	
0,56124	0,0462479	
0,760485	0,051196	
0,958551	0,0407859	
1,16009	0,0332966	
1,35946	0,0467162	
1,5605	0,049554	
1,75866	0,0445933	
1,95784	0,040382	
2,157	0,037052	
2,35506	0,033757	
2,55603	0,0362636	
2,75677	0,0436239	
2,95577	0,0405332	
3,15602	0,0381943	
3,35599	0,036033	
3,55453	0,0378181	
3,75445	0,0356093	
3,95289	0,0337475	
4,1536	0,0353807	
4,35093	0,0369891	
4,56972	0,0350968	
4,77033	0,0335082	
4,97037	0,0348108	
5,17023	0,0334353	
5,36984	0,032126	
5,5692	0,0357257	
5,76921	0,0344903	
5,97093	0,0333029	
6,1716	0,0320736	
6,37179	0,0354332	
6,57271	0,0384918	
6,77341	0,0373008	
6,97163	0,0382397	
7,17055	0,0390497	
7,37003	0,0380525	
7,57208	0,0404662	
7,77187	0,0394233	
7,9712	0,0400682	
8,17267	0,0423112	
8,37197	0,0429274	
8,57198	0,0418899	
8,77043	0,0409651	
8,96938	0,0400267	
9,16946	0,0406016	
9,36886	0,039852	
9,56744	0,0390468	
9,7661	0,0382658	
9,96567	0,0374576	
10,1652	0,0406179	
10,3671	0,0399322	
10,5678	0,0416336	
10,7685	0,0420996	
10,9691	0,042545	
11,169	0,0417839	
11,3693	0,0422233	
11,5683	0,0437469	
11,7688	0,043076	
11,9692	0,0434758	
12,1695	0,0427884	
12,37	0,047447	
12,5882	0,0466298	
12,7864	0,0469082	
12,9873	0,0461413	
13,1897	0,0454478	
13,3877	0,0447263	
13,5869	0,0441085	
13,7859	0,043389	
13,9863	0,0436905	
14,1862	0,0439125	
14,3858	0,0432787	
14,5854	0,0444779	
14,7867	0,0438926	
14,9869	0,0433266	
15,1874	0,0436123	
15,3889	0,0429958	
15,5887	0,0424579	
15,7891	0,0419417	
15,9905	0,0430385	
16,1912	0,0441481	
16,3903	0,0444377	
16,59	0,0447041	
16,7883	0,0442325	
16,9883	0,0444472	
17,1893	0,0447059	
17,3914	0,0442153	
17,592	0,0436931	
17,7918	0,0431884	
17,9902	0,0427555	
18,1883	0,0422851	
18,3857	0,041796	
18,585	0,0413619	
18,7844	0,0409064	
18,9833	0,0411891	
19,1845	0,0414323	
19,384	0,0430548	
19,5842	0,0432923	
19,7838	0,0442236	
19,9846	0,0437585	
20,1856	0,0446428	
20,3863	0,0441837	
20,5864	0,0437696	
20,7866	0,0433192	
20,9871	0,0435169	
21,1859	0,0431085	
21,3846	0,0427202	
21,5842	0,042929	
21,7836	0,043699	
21,9834	0,0432986	
22,1827	0,0429218	
22,3812	0,0431561	
22,5984	0,0438778	
22,7969	0,0435159	
22,9976	0,0431366	
23,1966	0,0427965	
23,3958	0,0441528	
23,5972	0,0443744	
23,797	0,0445295	
23,9976	0,0441683	
24,1971	0,0443674	
24,3965	0,0445629	
24,5962	0,0441837	
24,7948	0,0438353	
24,995	0,0439712	
25,1962	0,0441438	
25,3955	0,0438228	
25,5968	0,0435136	
25,7969	0,0431739	
25,9964	0,0428711	
26,1971	0,0425422	
26,3967	0,0422416	
26,5956	0,041938	
26,7955	0,0416089	
26,9945	0,0417699	
27,1935	0,0423952	
27,3924	0,0420974	
27,5927	0,0422603	
27,7949	0,0434064	
27,9928	0,0430782	
28,1975	0,0428109	
28,3974	0,0425025	
28,5965	0,0421862	
28,7968	0,0432743	
28,9964	0,0430233	
29,1967	0,0431923	
29,3951	0,0429209	
29,5954	0,0426238	
29,794	0,0427618	
30,0112	0,0428533	
30,2108	0,0425621	
30,4109	0,0423088	
30,61	0,0424874	
30,8096	0,0426496	
31,0071	0,0423869	
31,2099	0,0421443	
31,4081	0,0422769	
31,6083	0,0428524	
31,809	0,0425929	
32,0097	0,0423115	
32,2104	0,0424691	
32,4099	0,0421947	
32,6105	0,0419374	
32,8122	0,0420988	
33,0132	0,0422373	
33,213	0,0423644	
33,4131	0,0433167	
33,6111	0,0434681	
33,8108	0,0435952	
34,012	0,0433255	
34,2128	0,0430725	
34,4132	0,0428581	
34,6133	0,0426073	
34,8132	0,0423476	
35,0133	0,0424831	
35,2114	0,04261	
35,4113	0,0423769	
35,6114	0,0421279	
35,8116	0,0419028	
36,0101	0,0416474	
36,211	0,0414305	
36,4117	0,041192	
36,6135	0,0416927	
36,8127	0,0414758	
37,0107	0,0412587	
37,2107	0,0413644	
37,4101	0,0414667	
37,6086	0,0412486	
37,8263	0,0413428	
38,0083	0,0414743	
38,2084	0,0412593	
38,4273	0,041398	
38,6279	0,0411593	
38,8291	0,0409665	
39,0265	0,0410989	
39,2261	0,0415613	
39,4249	0,0416995	
39,6262	0,0418261	
39,8265	0,0416261	
40,027	0,0414187	
40,228	0,0412067	
40,4271	0,0410381	
40,6265	0,0408259	
40,8262	0,0409485	
41,026	0,0410622	
41,2254	0,0411685	
41,4243	0,0412806	
41,6241	0,0410747	
41,8246	0,0412078	
42,0249	0,0413368	
42,2243	0,0414672	
42,4246	0,0415742	
42,6247	0,0413904	
42,8252	0,0414979	
43,0244	0,0413208	
43,2251	0,0411213	
43,4265	0,040958	
43,6265	0,0410785	
43,8448	0,0408927	
44,0456	0,04072	
44,2437	0,0405363	
44,4454	0,0406314	
44,6426	0,0407542	
44,8432	0,0405745	
45,0423	0,040381	
45,2406	0,0407901	
45,4404	0,0409044	
45,6409	0,0410243	
45,8389	0,0414179	
46,0406	0,041219	
46,2402	0,0413321	
46,4399	0,0414428	
46,6393	0,0415468	
46,8384	0,0413495	
47,0572	0,0423046	
47,2587	0,0424016	
47,4396	0,0422369	
47,6596	0,0420305	
47,8581	0,0421369	
48,0567	0,0422261	
48,2547	0,0420486	
48,4584	0,0418613	
48,6589	0,0416903	
48,8586	0,0415221	
49,0582	0,0413559	
49,2572	0,0411829	
49,4575	0,0412825	
49,6577	0,0410944	
49,8578	0,0411862	
50,0581	0,0412906	
50,2584	0,0413964	
50,4597	0,0422777	
50,6605	0,0421068	
50,8606	0,0419412	
51,06	0,0420587	
51,2609	0,0418737	
51,4599	0,0417178	
51,659	0,0418219	
51,8606	0,0419052	
52,0611	0,0419873	
52,2613	0,0420722	
52,4628	0,0419182	
52,6637	0,041989	
52,865	0,04208	
53,0648	0,0424163	
53,2668	0,0422452	
53,4676	0,0420938	
53,6666	0,0431689	
53,865	0,043019	
54,0653	0,0428651	
54,2651	0,0429584	
54,4638	0,042802	
54,6635	0,0428831	
54,8618	0,0429692	
55,0622	0,0432982	
55,2619	0,0433773	
55,4626	0,0432092	
55,6625	0,0430598	
55,8628	0,0433685	
