Capture Duration (s) - T&A&B	g2(0) - T&A&B	
0,359782	0	
0,560218	0	
0,761201	0	
0,959422	0	
1,15915	0	
1,3584	0	
1,55747	0	
1,75813	0	
1,95992	0	
2,15923	0	
2,35732	0	
2,57644	0	
2,75688	0	
2,97628	0	
3,17613	0	
3,37483	0	
3,57358	0	
3,77365	0	
3,97332	0	
4,17327	0	
4,37181	0	
4,57366	0	
4,77502	0	
4,97461	0	
5,17541	0	
5,37351	0	
5,57379	0	
5,77369	0	
5,97408	0	
6,17307	0	
6,37177	0	
6,58983	0	
6,78907	0	
6,99088	0	
7,19063	0	
7,38954	0	
7,58874	0	
7,78899	0	
7,98868	0	
8,18949	0	
8,39115	0	
8,59094	0	
8,7892	0	
8,98775	0	
9,18881	0	
9,38951	0	
9,58962	0	
9,79011	0	
9,99089	0	
10,1902	0	
10,3896	0	
10,5909	0	
10,7909	0	
10,9906	0	
11,191	0	
11,3915	0	
11,593	1,89506	
11,792	1,87012	
11,9919	1,85593	
12,1895	1,82704	
12,3869	1,79256	
12,5888	1,75828	
12,7875	1,75376	
12,9883	1,72838	
13,1864	1,70246	
13,3854	1,65417	
13,5848	1,63689	
13,7855	1,61395	
13,9847	1,58458	
14,1838	1,55054	
14,3827	1,51484	
14,6001	1,50171	
14,8006	1,48038	
15,0005	1,46364	
15,2006	1,44425	
15,3986	1,41341	
15,5985	1,39924	
15,7979	1,3754	
15,9976	1,35787	
16,1986	1,33218	
16,3977	1,31792	
16,5971	1,29999	
16,7965	1,28712	
16,9952	1,26272	
17,1933	1,25317	
17,3902	1,23756	
17,5926	1,22104	
17,7929	1,20926	
17,9933	1,19101	
18,1929	1,1691	
18,392	1,15936	
18,5921	1,14577	
18,7903	1,12967	
18,9912	1,10897	
19,1908	1,09763	
19,3902	1,09015	
19,6091	1,07826	
19,8074	1,06526	
20,0086	1,06645	
20,207	1,04927	
20,4076	1,03797	
20,6049	1,02506	
20,8056	1,01015	
21,0062	0,999984	
21,2061	0,988237	
21,406	0,98247	
21,6047	0,973915	
21,8034	0,963051	
22,0032	0,956333	
22,204	0,939087	
22,4045	0,932145	
22,603	0,922697	
22,8032	0,91808	
23,0013	0,907799	
23,2002	0,897456	
23,4	0,885138	
23,5984	0,87788	
23,7984	0,86733	
24,0001	0,857084	
24,1978	0,852505	
24,3983	0,843595	
24,6172	0,839186	
24,8152	0,83443	
25,0172	0,828011	
25,218	0,826396	
25,4164	0,82004	
25,6148	0,817513	
25,8146	0,811392	
26,0142	0,808645	
26,2132	0,802394	
26,4129	0,794996	
26,6111	0,792879	
26,8101	0,784422	
27,0126	0,776745	
27,2117	0,772164	
27,4106	0,767876	
27,6092	0,758715	
27,8085	0,753686	
28,0089	0,746805	
28,2103	0,741033	
28,4074	0,735394	
28,6082	0,728873	
28,8078	0,724696	
29,0073	0,718402	
29,226	0,711762	
29,4266	0,709709	
29,6231	0,705412	
29,8227	0,702525	
30,0235	0,698692	
30,2241	0,694603	
30,4247	0,683736	
30,6247	0,679983	
30,825	0,677264	
31,024	0,674587	
31,2239	0,665841	
31,4252	0,66253	
31,6242	0,657909	
31,8249	0,651301	
32,0245	0,647719	
32,2242	0,645424	
32,4231	0,641155	
32,6207	0,638223	
32,8214	0,634204	
33,0232	0,63118	
33,223	0,627286	
33,4228	0,623252	
33,6228	0,617396	
33,8235	0,614047	
34,023	0,610875	
34,2223	0,606022	
34,4239	0,604515	
34,6244	0,600807	
34,8234	0,599301	
35,0231	0,596723	
35,2218	0,595503	
35,4226	0,592119	
35,6219	0,588717	
35,8222	0,587419	
36,0198	0,584775	
36,239	0,582165	
36,4392	0,580482	
36,6198	0,578643	
36,84	0,575581	
37,0388	0,572927	
37,2383	0,568103	
37,4358	0,565075	
37,6352	0,562442	
37,8341	0,561363	
38,0341	0,558039	
38,2364	0,556355	
38,4357	0,550644	
38,6359	0,545802	
38,8366	0,541048	
39,0368	0,538466	
39,2364	0,535049	
39,4356	0,530763	
39,6333	0,52826	
39,8343	0,52465	
40,0338	0,523089	
40,2341	1,03996	
40,4343	1,03256	
40,6327	1,02716	
40,8319	1,02166	
41,0309	1,01698	
41,2302	1,01137	
41,4289	1,00678	
41,6285	1,0026	
41,8295	0,997927	
42,0293	0,993516	
42,2476	0,987633	
42,429	0,984561	
42,648	0,981062	
