Capture Duration (s) - A&B	g2(0) - A&B	
0,363098	0,865343	
0,56209	0,920251	
0,75965	1,00473	
0,957738	1,00794	
1,15646	0,973254	
1,37534	0,929114	
1,57352	0,906036	
1,77158	0,905006	
1,97211	0,951283	
2,1703	0,932752	
2,36772	0,904804	
2,56546	0,88793	
2,76204	0,882716	
2,9802	0,886444	
3,17802	0,908924	
3,37807	0,910883	
3,57704	0,906309	
3,77763	0,901275	
3,97702	0,913793	
4,17576	0,911443	
4,37585	0,897967	
4,57667	0,905916	
4,7751	0,893667	
4,97534	0,876677	
5,17434	0,884709	
5,37427	0,892136	
5,575	0,875328	
5,77401	0,901768	
5,99246	0,91131	
6,19178	0,910312	
6,39232	0,897088	
6,59258	0,892173	
6,79172	0,887935	
6,99119	0,899285	
7,19033	0,896435	
7,39101	0,896179	
7,5902	0,899482	
7,78975	0,904991	
7,99094	0,916069	
8,18997	0,922284	
8,39035	0,926176	
8,58843	0,944364	
8,78556	0,93867	
8,987	0,944754	
9,18779	0,948954	
9,38618	0,944484	
9,60494	0,949932	
9,80411	0,960617	
10,004	0,973774	
10,2045	0,964981	
10,4037	0,972343	
10,6031	0,969559	
10,8034	0,965248	
11,0033	0,958715	
11,202	0,967016	
11,4003	0,969541	
11,5999	0,967968	
11,8006	0,970986	
11,9999	0,979472	
12,1998	0,981228	
12,3988	0,988239	
12,5974	0,991656	
12,7975	0,989494	
12,9967	0,98804	
13,1958	0,989276	
13,3946	0,994848	
13,5935	0,98782	
13,7918	0,985623	
14,0108	0,984454	
14,2097	0,985966	
14,4095	0,988105	
14,6103	0,981873	
14,8095	0,987726	
15,0108	0,999522	
15,2118	0,995049	
15,4126	0,994372	
15,6129	0,991802	
15,814	0,995319	
16,0133	0,993834	
16,2132	0,990158	
16,4144	0,991205	
16,6149	0,994885	
16,8132	0,991859	
17,0124	0,999875	
17,213	1,00019	
17,4126	1,00045	
17,6122	1,00073	
17,8107	0,996239	
18,0116	0,998596	
18,2115	0,997344	
18,4111	0,997983	
18,6111	0,999376	
18,8098	1,00034	
19,0086	1,00402	
19,2091	1,00047	
19,4111	0,999642	
19,63	1,00029	
19,8291	1,00036	
20,0277	0,997456	
20,228	0,992962	
20,428	0,992592	
20,6265	0,991933	
20,8286	0,993693	
21,0295	0,993198	
21,229	0,998932	
21,4322	0,999462	
21,6311	0,997684	
21,8286	0,999295	
22,0267	0,996741	
22,2275	0,999841	
22,4261	1,00347	
22,6242	0,999928	
22,8237	0,995823	
23,0228	0,995426	
23,2219	0,992949	
23,4389	0,996419	
23,6406	0,99737	
23,84	1,00131	
24,0401	1,00244	
24,2402	1,00026	
24,4391	1,00086	
24,6382	1,00562	
24,8372	1,00607	
25,0355	1,00805	
25,2339	1,00376	
25,4324	1,00104	
25,6314	1,00364	
25,8493	1,00306	
26,0482	1,00474	
26,2466	1,00514	
26,4461	1,00603	
26,6464	1,00786	
26,8451	1,00639	
27,0457	1,00595	
27,2437	1,00681	
27,4454	1,00517	
27,644	1,00409	
27,8446	1,00218	
28,0441	1,00469	
28,2624	1,0035	
28,4622	1,00171	
28,6599	1,00041	
28,8598	1,00233	
29,0601	1,0025	
29,2599	1,0021	
29,4608	1,00496	
29,6597	1,00559	
29,8597	1,00525	
30,0584	1,00673	
30,2571	1,00491	
30,4568	1,00186	
30,6561	1,00165	
30,8558	1,00354	
31,0743	1,00393	
31,2728	1,00649	
31,4711	1,00623	
31,6715	1,00752	
31,8705	1,00724	
32,0684	1,00725	
32,2663	1,00697	
32,4666	1,00435	
32,6638	1,00188	
32,8618	1,0018	
33,0634	0,998903	
33,2644	0,996487	
33,4637	0,998286	
33,6625	0,998156	
33,8611	0,999427	
34,0609	0,999589	
34,2619	1,00007	
34,4608	1,00084	
34,6799	1,00085	
34,8799	1,0006	
35,0798	1,00066	
35,279	1,0002	
35,4773	0,999959	
35,6767	1,00048	
35,8761	1,00357	
36,0778	1,0024	
36,2765	1,00137	
36,4761	1,00069	
36,6771	1,00236	
36,8772	1,00023	
37,077	0,998837	
37,2749	1,00004	
37,4737	1,00369	
37,673	1,00481	
37,8733	1,00877	
38,0921	1,0084	
38,2923	1,00804	
38,4743	1,00887	
38,6929	1,01193	
38,8903	1,01194	
39,0905	1,01164	
39,2917	1,012	
39,4919	1,01168	
39,6926	1,01108	
39,8944	1,01102	
40,0948	1,01133	
40,2943	1,01064	
40,4953	1,00802	
40,693	1,00538	
40,8931	1,00418	
41,0917	1,00322	
41,292	1,00342	
41,4919	1,00132	
41,6911	1,00144	
41,8897	1,00367	
42,0907	1,00398	
42,2912	1,00438	
42,4904	1,00501	
42,6907	1,00754	
42,8935	1,00907	
43,0926	1,00785	
43,2918	1,00844	
43,4927	1,00817	
43,6931	1,00693	
43,8921	1,00886	
44,0912	1,00857	
44,2906	1,00854	
44,5103	1,00597	
44,7092	1,00781	
44,9094	1,00714	
45,1095	1,00745	
45,3103	1,00776	
45,5102	1,00615	
45,7107	1,00554	
45,911	1,00587	
46,1121	1,00503	
46,3108	1,0066	
46,5094	1,00605	
46,7074	1,00494	
46,9254	1,00457	
47,1253	1,00368	
47,3238	1,00399	
47,5212	1,00438	
47,7194	1,00473	
47,9201	1,00589	
48,119	1,00618	
48,3186	1,00762	
48,5182	1,00684	
48,7352	1,00817	
48,9346	1,00688	
49,1337	1,00603	
49,333	1,0053	
49,5335	1,00392	
49,7342	1,00339	
49,9344	1,00391	
50,1345	1,0044	
