Data Point - T&A	Coincidence Rate (Hz) - T&A	Data Point - T&B	Coincidence Rate (Hz) - T&B	Data Point - A&B	Coincidence Rate (Hz) - A&B	Data Point - T&C	Coincidence Rate (Hz) - T&C	Data Point - B&C	Coincidence Rate (Hz) - B&C	
2688	6,77754k	2688	0	2688	0	2688	0	2688	0	
2689	6,66822k	2689	0	2689	0	2689	0	2689	0	
2690	6,8235k	2690	0	2690	0	2690	0	2690	0	
2691	6,86102k	2691	0	2691	0	2691	0	2691	0	
2692	6,22628k	2692	0	2692	0	2692	0	2692	0	
2693	6,35631k	2693	0	2693	0	2693	0	2693	0	
2694	6,04673k	2694	0	2694	0	2694	0	2694	0	
2695	5,73651k	2695	0	2695	0	2695	0	2695	0	
2696	4,2376k	2696	0	2696	0	2696	0	2696	0	
2697	3,67131k	2697	0	2697	0	2697	0	2697	0	
2698	3,91571k	2698	0	2698	0	2698	0	2698	0	
2699	4,66054k	2699	0	2699	0	2699	0	2699	0	
2700	6,16378k	2700	0	2700	0	2700	0	2700	0	
2701	6,64816k	2701	0	2701	0	2701	0	2701	0	
2702	6,61786k	2702	0	2702	0	2702	0	2702	0	
2703	6,58178k	2703	0	2703	0	2703	0	2703	0	
2704	6,40273k	2704	0	2704	0	2704	0	2704	0	
2705	6,56529k	2705	0	2705	0	2705	0	2705	0	
2706	6,7175k	2706	0	2706	0	2706	0	2706	0	
2707	6,53822k	2707	0	2707	0	2707	0	2707	0	
2708	6,21192k	2708	0	2708	0	2708	0	2708	0	
2709	6,00029k	2709	0	2709	0	2709	0	2709	0	
2710	5,65474k	2710	0	2710	0	2710	0	2710	0	
2711	5,80424k	2711	0	2711	0	2711	0	2711	0	
2712	5,98011k	2712	0	2712	0	2712	0	2712	0	
2713	5,93432k	2713	0	2713	0	2713	0	2713	0	
2714	5,81539k	2714	0	2714	0	2714	0	2714	0	
2715	6,17235k	2715	0	2715	0	2715	0	2715	0	
2716	5,93379k	2716	0	2716	0	2716	0	2716	0	
2717	5,91457k	2717	0	2717	0	2717	0	2717	0	
2718	6,00502k	2718	0	2718	0	2718	0	2718	0	
2719	6,22512k	2719	0	2719	0	2719	0	2719	0	
2720	6,04258k	2720	0	2720	0	2720	0	2720	0	
2721	6,03314k	2721	0	2721	0	2721	0	2721	0	
2722	6,01758k	2722	0	2722	0	2722	0	2722	0	
2723	5,37745k	2723	0	2723	0	2723	0	2723	0	
2724	5,99128k	2724	0	2724	0	2724	0	2724	0	
2725	5,2224k	2725	0	2725	0	2725	0	2725	0	
2726	5,37297k	2726	0	2726	0	2726	0	2726	0	
2727	5,3667k	2727	0	2727	0	2727	0	2727	0	
2728	5,3689k	2728	0	2728	0	2728	0	2728	0	
2729	5,44407k	2729	0	2729	0	2729	0	2729	0	
2730	5,17531k	2730	0	2730	0	2730	0	2730	0	
2731	5,38266k	2731	0	2731	0	2731	0	2731	0	
2732	5,39549k	2732	0	2732	0	2732	0	2732	0	
2733	5,41921k	2733	0	2733	0	2733	0	2733	0	
2734	5,41137k	2734	0	2734	0	2734	0	2734	0	
2735	4,96539k	2735	0	2735	0	2735	0	2735	0	
2736	4,72308k	2736	0	2736	0	2736	0	2736	0	
