Data Point - T&A	Coincidence Rate (Hz) - T&A	Data Point - T&B	Coincidence Rate (Hz) - T&B	Data Point - A&B	Coincidence Rate (Hz) - A&B	Data Point - T&C	Coincidence Rate (Hz) - T&C	Data Point - B&C	Coincidence Rate (Hz) - B&C	
1315	54,5691	1315	130,966	1315	82,945	1315	0	1315	0	
1316	60,5361	1316	123,16	1316	64,711	1316	0	1316	0	
1317	54,0774	1317	127,623	1317	71,3821	1317	0	1317	0	
1318	76,6303	1318	122,608	1318	63,4937	1318	0	1318	0	
1319	50,2324	1319	100,465	1319	64,8835	1319	0	1319	0	
1320	52,3528	1320	100,343	1320	98,1616	1320	0	1320	0	
1321	77,4714	1321	123,536	1321	62,8147	1321	0	1321	0	
1322	71,8728	1322	106,72	1322	69,6948	1322	0	1322	0	
1323	67,1116	1323	110,409	1323	64,9467	1323	0	1323	0	
1324	43,6815	1324	114,404	1324	89,4431	1324	0	1324	0	
1325	60,9615	1325	113,214	1325	60,9615	1325	0	1325	0	
1326	62,9589	1326	95,5239	1326	106,379	1326	0	1326	0	
1327	54,0308	1327	118,452	1327	76,89	1327	0	1327	0	
1328	58,9562	1328	100,444	1328	69,874	1328	0	1328	0	
1329	58,558	1329	112,933	1329	75,2889	1329	0	1329	0	
1330	63,4502	1330	100,645	1330	89,7054	1330	0	1330	0	
1331	46,0836	1331	96,3566	1331	64,936	1331	0	1331	0	
1332	56,61	1332	108,865	1332	56,61	1332	0	1332	0	
1333	58,6929	1333	106,517	1333	99,9953	1333	0	1333	0	
1334	64,6957	1334	81,3914	1334	62,6087	1334	0	1334	0	
1335	47,9909	1335	100,345	1335	67,6235	1335	0	1335	0	
1336	45,6474	1336	102,163	1336	82,6001	1336	0	1336	0	
1337	67,3589	1337	112,989	1337	58,6674	1337	0	1337	0	
1338	37,0103	1338	113,208	1338	78,3748	1338	0	1338	0	
1339	69,5851	1339	123,948	1339	69,5851	1339	0	1339	0	
1340	81,827	1340	113,299	1340	46,1588	1340	0	1340	0	
1341	47,7013	1341	110,58	1341	75,8884	1341	0	1341	0	
1342	43,5503	1342	132,828	1342	58,7929	1342	0	1342	0	
1343	66,8945	1343	137,97	1343	71,0754	1343	0	1343	0	
1344	61,1014	1344	120,021	1344	89,47	1344	0	1344	0	
1345	58,8793	1345	141,746	1345	56,6986	1345	0	1345	0	
1346	58,6536	1346	99,9283	1346	80,3771	1346	0	1346	0	
1347	73,7703	1347	108,486	1347	82,4492	1347	0	1347	0	
1348	68,9126	1348	106,501	1348	68,9126	1348	0	1348	0	
1349	71,331	1349	108,077	1349	58,3618	1349	0	1349	0	
1350	99,8686	1350	99,8686	1350	86,8422	1350	0	1350	0	
1351	66,7874	1351	154,446	1351	85,5714	1351	0	1351	0	
1352	63,0601	1352	102,201	1352	65,2345	1352	0	1352	0	
1353	52,4224	1353	138,395	1353	65,0037	1353	0	1353	0	
1354	39,4258	1354	135,8	1354	94,1838	1354	0	1354	0	
1355	89,7142	1355	139,787	1355	75,1096	1355	0	1355	0	
1356	87,4724	1356	142,143	1356	85,2856	1356	0	1356	0	
1357	62,7788	1357	96,2608	1357	94,1682	1357	0	1357	0	
1358	50,1133	1358	108,942	1358	58,8287	1358	0	1358	0	
1359	50,1321	1359	111,162	1359	76,288	1359	0	1359	0	
1360	37,628	1360	106,613	1360	50,1706	1360	0	1360	0	
1361	65,2967	1361	113,181	1361	89,2388	1361	0	1361	0	
1362	63,0724	1362	108,746	1362	84,8216	1362	0	1362	0	
1363	48,0746	1363	114,961	1363	91,9688	1363	0	1363	0	
1364	41,525	1364	148,616	1364	61,1948	1364	0	1364	0	
1365	78,0269	1365	99,701	1365	65,0224	1365	0	1365	0	
1366	35,801	1366	92,6614	1366	67,3901	1366	0	1366	0	
1367	65,6687	1367	133,526	1367	74,4245	1367	0	1367	0	
1368	61,137	1368	122,274	1368	67,6874	1368	0	1368	0	
1369	62,9097	1369	83,8796	1369	56,6188	1369	0	1369	0	
1370	48,3698	1370	117,77	1370	63,091	1370	0	1370	0	
1371	45,7187	1371	106,677	1371	52,2499	1371	0	1371	0	
1372	54,6094	1372	133,247	1372	80,8219	1372	0	1372	0	
1373	48,1157	1373	135,979	1373	64,8516	1373	0	1373	0	
1374	54,7629	1374	116,097	1374	87,6206	1374	0	1374	0	
1375	48,2752	1375	107,045	1375	62,9676	1375	0	1375	0	
1376	70,1945	1376	138,195	1376	70,1945	1376	0	1376	0	
1377	64,9714	1377	140,422	1377	85,9299	1377	0	1377	0	
1378	59,1588	1378	107,362	1378	78,8784	1378	0	1378	0	
1379	50,3869	1379	96,5748	1379	79,7792	1379	0	1379	0	
1380	67,3753	1380	105,274	1380	48,426	1380	0	1380	0	
1381	56,7687	1381	106,987	1381	78,6028	1381	0	1381	0	
1382	52,693	1382	70,2574	1382	83,4306	1382	0	1382	0	
1383	60,807	1383	81,7749	1383	85,9685	1383	0	1383	0	
1384	56,8448	1384	111,503	1384	63,4038	1384	0	1384	0	
1385	77,2792	1385	121,14	1385	96,0768	1385	0	1385	0	
1386	63,5211	1386	111,71	1386	81,0442	1386	0	1386	0	
1387	41,3237	1387	106,572	1387	82,6474	1387	0	1387	0	
1388	61,1955	1388	113,649	1388	78,68	1388	0	1388	0	
1389	81,9925	1389	126,142	1389	84,0948	1389	0	1389	0	
1390	74,0596	1390	98,0201	1390	69,7032	1390	0	1390	0	
1391	67,3365	1391	98,9005	1391	75,7536	1391	0	1391	0	
1392	44,0123	1392	113,174	1392	69,1622	1392	0	1392	0	
1393	71,9297	1393	111,164	1393	87,1875	1393	0	1393	0	
1394	54,3671	1394	106,559	1394	84,8127	1394	0	1394	0	
1395	65,0591	1395	117,526	1395	67,1578	1395	0	1395	0	
1396	50,122	1396	100,244	1396	117,678	1396	0	1396	0	
1397	45,8606	1397	113,559	1397	74,2504	1397	0	1397	0	
1398	60,7145	1398	94,2121	1398	62,8081	1398	0	1398	0	
1399	62,7055	1399	123,249	1399	77,8413	1399	0	1399	0	
1400	60,6569	1400	92,0312	1400	54,3821	1400	0	1400	0	
1401	67,6342	1401	117,814	1401	80,7247	1401	0	1401	0	
1402	85,2194	1402	93,9598	1402	80,8491	1402	0	1402	0	
1403	60,4303	1403	97,9388	1403	54,1789	1403	0	1403	0	
1404	40,0946	1404	101,907	1404	53,4594	1404	0	1404	0	
1405	61,0761	1405	115,366	1405	95,0073	1405	0	1405	0	
1406	52,1353	1406	106,356	1406	77,1603	1406	0	1406	0	
1407	34,8339	1407	93,616	1407	100,147	1407	0	1407	0	
1408	56,0947	1408	107,874	1408	66,8821	1408	0	1408	0	
1409	37,798	1409	79,7957	1409	75,5959	1409	0	1409	0	
1410	71,7027	1410	117,332	1410	95,6036	1410	0	1410	0	
1411	39,1257	1411	95,6406	1411	56,5149	1411	0	1411	0	
1412	83,571	1412	121,178	1412	64,7675	1412	0	1412	0	
1413	60,8791	1413	104,364	1413	82,6217	1413	0	1413	0	
1414	56,6819	1414	106,824	1414	65,4022	1414	0	1414	0	
1415	37,5581	1415	110,588	1415	75,1161	1415	0	1415	0	
1416	52,4656	1416	98,3731	1416	87,4427	1416	0	1416	0	
