Data Point - T	Count Rate (Hz) - T	Data Point - A	Count Rate (Hz) - A	Data Point - B	Count Rate (Hz) - B	Data Point - C	Count Rate (Hz) - C	
2690	1,22271M	2690	698,942k	2690	0	2690	0	
2691	1,22018M	2691	697,723k	2691	0	2691	0	
2692	1,19662M	2692	691,546k	2692	0	2692	0	
2693	1,16266M	2693	688,547k	2693	0	2693	0	
2694	1,12497M	2694	685,696k	2694	0	2694	0	
2695	1,01007M	2695	648,157k	2695	0	2695	0	
2696	870,302k	2696	362,318k	2696	0	2696	0	
2697	847,119k	2697	277,317k	2697	0	2697	0	
2698	853,559k	2698	287,578k	2698	0	2698	0	
2699	902,406k	2699	421,339k	2699	0	2699	0	
2700	1,07269M	2700	678,65k	2700	0	2700	0	
2701	1,21507M	2701	696,91k	2701	0	2701	0	
2702	1,22734M	2702	700,921k	2702	0	2702	0	
2703	1,22734M	2703	700,568k	2703	0	2703	0	
2704	1,22929M	2704	702,486k	2704	0	2704	0	
2705	1,22843M	2705	702,575k	2705	0	2705	0	
2706	1,2302M	2706	703,401k	2706	0	2706	0	
2707	1,22372M	2707	700,789k	2707	0	2707	0	
2708	1,06005M	2708	676,475k	2708	0	2708	0	
2709	1,05798M	2709	648,417k	2709	0	2709	0	
2710	1,01247M	2710	646,842k	2710	0	2710	0	
2711	1,03242M	2711	651,027k	2711	0	2711	0	
2712	1,03294M	2712	652,755k	2712	0	2712	0	
2713	1,08887M	2713	649,747k	2713	0	2713	0	
2714	1,09128M	2714	654,075k	2714	0	2714	0	
2715	1,10597M	2715	656,23k	2715	0	2715	0	
2716	1,10535M	2716	658,499k	2716	0	2716	0	
2717	1,10797M	2717	657,69k	2717	0	2717	0	
2718	1,11119M	2718	656,837k	2718	0	2718	0	
2719	1,11137M	2719	661,693k	2719	0	2719	0	
2720	1,11564M	2720	663,907k	2720	0	2720	0	
2721	1,11844M	2721	665,277k	2721	0	2721	0	
2722	1,11122M	2722	661,251k	2722	0	2722	0	
2723	1,01728M	2723	663,78k	2723	0	2723	0	
2724	1,06748M	2724	640,237k	2724	0	2724	0	
2725	962,866k	2725	619,028k	2725	0	2725	0	
2726	969,819k	2726	627,453k	2726	0	2726	0	
2727	970,703k	2727	631,086k	2727	0	2727	0	
2728	972,564k	2728	631,607k	2728	0	2728	0	
2729	973,415k	2729	630,469k	2729	0	2729	0	
2730	968,342k	2730	630,472k	2730	0	2730	0	
2731	966,725k	2731	626,728k	2731	0	2731	0	
2732	966,742k	2732	628,82k	2732	0	2732	0	
2733	973,059k	2733	629,188k	2733	0	2733	0	
2734	978,617k	2734	628,728k	2734	0	2734	0	
2735	973,043k	2735	615,498k	2735	0	2735	0	
2736	973,234k	2736	597,735k	2736	0	2736	0	
2737	972,726k	2737	600,752k	2737	0	2737	0	
2738	971,595k	2738	594,574k	2738	0	2738	0	
2739	970,557k	2739	588,511k	2739	0	2739	0	
2740	970,705k	2740	492,742k	2740	0	2740	0	
2741	969,558k	2741	425,099k	2741	0	2741	0	
2742	974,875k	2742	413,84k	2742	0	2742	0	
2743	976,574k	2743	629,821k	2743	0	2743	0	
2744	978,067k	2744	632,125k	2744	0	2744	0	
2745	976,866k	2745	630,297k	2745	0	2745	0	
2746	906,087k	2746	629,032k	2746	0	2746	0	
2747	758,54k	2747	630,399k	2747	0	2747	0	
2748	691,038k	2748	635,871k	2748	0	2748	0	
2749	811,902k	2749	666,095k	2749	0	2749	0	
2750	970,066k	2750	687,297k	2750	0	2750	0	
2751	1,14941M	2751	697,095k	2751	0	2751	0	
2752	1,16936M	2752	698,802k	2752	0	2752	0	
2753	1,12452M	2753	697,909k	2753	0	2753	0	
