Data Point - T	Count Rate (Hz) - T	Data Point - A	Count Rate (Hz) - A	Data Point - B	Count Rate (Hz) - B	Data Point - C	Count Rate (Hz) - C	
1167	127,168k	1167	84,5078k	1167	167,473k	1167	0	
1168	125,02k	1168	85,2268k	1168	166,445k	1168	0	
1169	128,19k	1169	84,0166k	1169	167,517k	1169	0	
1170	127,808k	1170	84,6653k	1170	166,925k	1170	0	
1171	127,201k	1171	85,1537k	1171	168,205k	1171	0	
1172	127,315k	1172	85,0069k	1172	167,301k	1172	0	
1173	128,675k	1173	84,7094k	1173	169,021k	1173	0	
1174	126,781k	1174	84,2579k	1174	167,894k	1174	0	
1175	128,657k	1175	84,3664k	1175	165,966k	1175	0	
1176	126,197k	1176	84,8194k	1176	167,78k	1176	0	
1177	126,141k	1177	84,9542k	1177	168,005k	1177	0	
1178	127,548k	1178	85,2037k	1178	167,938k	1178	0	
1179	126,997k	1179	85,2475k	1179	166,845k	1179	0	
1180	126,575k	1180	84,2826k	1180	166,356k	1180	0	
1181	128,945k	1181	83,9626k	1181	167,332k	1181	0	
1182	128,61k	1182	85,1363k	1182	165,726k	1182	0	
1183	128,402k	1183	84,456k	1183	168,259k	1183	0	
1184	126,446k	1184	84,6802k	1184	166,973k	1184	0	
1185	127,131k	1185	84,7542k	1185	168,583k	1185	0	
1186	127,04k	1186	85,4367k	1186	167,289k	1186	0	
1187	127,48k	1187	84,5039k	1187	167,825k	1187	0	
1188	127,509k	1188	85,1445k	1188	168,058k	1188	0	
1189	126,867k	1189	84,9147k	1189	169,233k	1189	0	
1190	126,917k	1190	85,0933k	1190	169,113k	1190	0	
1191	127,176k	1191	84,6371k	1191	168,04k	1191	0	
1192	125,895k	1192	84,6242k	1192	169,632k	1192	0	
1193	126,876k	1193	85,3959k	1193	167,727k	1193	0	
1194	126,743k	1194	85,2348k	1194	167,502k	1194	0	
1195	126,081k	1195	84,6594k	1195	168,871k	1195	0	
1196	127,13k	1196	85,5867k	1196	168,188k	1196	0	
1197	127,297k	1197	86,0938k	1197	167,403k	1197	0	
1198	127,338k	1198	85,7323k	1198	167,523k	1198	0	
1199	128,537k	1199	84,5238k	1199	167,362k	1199	0	
1200	127,483k	1200	84,7445k	1200	167,226k	1200	0	
1201	127,901k	1201	84,9k	1201	166,464k	1201	0	
1202	126,651k	1202	85,2615k	1202	168,1k	1202	0	
1203	128,176k	1203	85,3439k	1203	168,421k	1203	0	
1204	127,406k	1204	85,2427k	1204	167,99k	1204	0	
1205	127,781k	1205	85,5255k	1205	167,422k	1205	0	
1206	127,637k	1206	84,8796k	1206	168,683k	1206	0	
1207	128,549k	1207	84,6502k	1207	169,165k	1207	0	
1208	127,157k	1208	85,3105k	1208	169,653k	1208	0	
1209	128,186k	1209	85,2267k	1209	167,495k	1209	0	
1210	127,487k	1210	86,0314k	1210	168,279k	1210	0	
1211	144,392k	1211	86,7083k	1211	169,819k	1211	0	
1212	136,753k	1212	86,181k	1212	170,186k	1212	0	
1213	128,13k	1213	86,0651k	1213	168,159k	1213	0	
1214	127,497k	1214	85,4049k	1214	167,571k	1214	0	
1215	127,58k	1215	85,2916k	1215	167,825k	1215	0	
1216	127,423k	1216	86,2561k	1216	167,287k	1216	0	
1217	127,805k	1217	84,9738k	1217	169,009k	1217	0	
1218	127,304k	1218	85,5424k	1218	167,824k	1218	0	
1219	127,472k	1219	84,87k	1219	168,628k	1219	0	
1220	127,658k	1220	86,049k	1220	168,559k	1220	0	
1221	127,112k	1221	86,2743k	1221	168,878k	1221	0	
1222	127,264k	1222	84,9779k	1222	168,144k	1222	0	
1223	129,091k	1223	85,7457k	1223	167,828k	1223	0	
1224	127,05k	1224	85,223k	1224	168,447k	1224	0	
1225	128,763k	1225	85,8549k	1225	167,24k	1225	0	
1226	126,642k	1226	85,6526k	1226	165,56k	1226	0	
1227	127,446k	1227	85,2109k	1227	169,055k	1227	0	
1228	128,235k	1228	85,3132k	1228	167,147k	1228	0	
1229	127,573k	1229	85,0501k	1229	168,87k	1229	0	
1230	128,331k	1230	86,2987k	1230	168,521k	1230	0	
1231	127,394k	1231	85,5189k	1231	168,325k	1231	0	
1232	127,584k	1232	84,4217k	1232	168,076k	1232	0	
1233	127,026k	1233	85,861k	1233	169,601k	1233	0	
1234	128,989k	1234	85,5137k	1234	168,895k	1234	0	
1235	128,662k	1235	86,3607k	1235	167,678k	1235	0	
1236	127,962k	1236	85,8878k	1236	168,086k	1236	0	
1237	128,042k	1237	85,0373k	1237	167,883k	1237	0	
1238	126,953k	1238	85,9366k	1238	169,478k	1238	0	
1239	128,269k	1239	85,7524k	1239	168,523k	1239	0	
1240	127,925k	1240	84,7636k	1240	169,819k	1240	0	
1241	127,47k	1241	85,5778k	1241	168,308k	1241	0	
1242	128,357k	1242	84,3105k	1242	170,195k	1242	0	
1243	128,535k	1243	86,579k	1243	171,146k	1243	0	
1244	127,773k	1244	85,8282k	1244	168,554k	1244	0	
1245	127,792k	1245	86,9071k	1245	170,043k	1245	0	
1246	128,89k	1246	85,5292k	1246	171,704k	1246	0	
1247	128,258k	1247	87,3994k	1247	170,152k	1247	0	
1248	127,871k	1248	85,8164k	1248	169,578k	1248	0	
1249	129,276k	1249	85,86k	1249	170,991k	1249	0	
1250	128,362k	1250	86,6478k	1250	170,863k	1250	0	
1251	128,924k	1251	84,757k	1251	169,093k	1251	0	
1252	128,91k	1252	86,5163k	1252	171,142k	1252	0	
1253	128,298k	1253	86,0692k	1253	168,987k	1253	0	
1254	128,842k	1254	84,8928k	1254	167,962k	1254	0	
1255	127,955k	1255	86,4937k	1255	169,524k	1255	0	
1256	127,57k	1256	85,6139k	1256	170,386k	1256	0	
1257	130,116k	1257	86,1231k	1257	170,668k	1257	0	
1258	128,091k	1258	86,4191k	1258	170,881k	1258	0	
1259	128,228k	1259	86,5678k	1259	169,564k	1259	0	
1260	128,13k	1260	86,3609k	1260	169,504k	1260	0	
1261	128,243k	1261	86,1256k	1261	169,625k	1261	0	
1262	127,844k	1262	86,9849k	1262	170,619k	1262	0	
1263	129,854k	1263	85,9195k	1263	169,058k	1263	0	
1264	128,985k	1264	85,9858k	1264	167,842k	1264	0	
1265	128,752k	1265	85,711k	1265	169,062k	1265	0	
1266	128,779k	1266	86,6802k	1266	170,07k	1266	0	
