Data Point - T	Count Rate (Hz) - T	Data Point - A	Count Rate (Hz) - A	Data Point - B	Count Rate (Hz) - B	Data Point - C	Count Rate (Hz) - C	
1848	1,29408M	1848	1,09151M	1848	0	1848	0	
1849	1,29632M	1849	1,08971M	1849	0	1849	0	
1850	1,29419M	1850	1,09026M	1850	0	1850	0	
1851	1,29919M	1851	1,09651M	1851	0	1851	0	
1852	1,29451M	1852	1,09279M	1852	0	1852	0	
1853	1,29447M	1853	1,09133M	1853	0	1853	0	
1854	1,29583M	1854	1,09236M	1854	0	1854	0	
1855	1,29801M	1855	1,09505M	1855	0	1855	0	
1856	1,2988M	1856	1,09326M	1856	0	1856	0	
1857	1,29203M	1857	1,09412M	1857	0	1857	0	
1858	1,29404M	1858	1,09614M	1858	0	1858	0	
1859	1,29811M	1859	1,09595M	1859	0	1859	0	
1860	1,29877M	1860	1,09567M	1860	0	1860	0	
1861	1,29566M	1861	1,09163M	1861	0	1861	0	
1862	1,28807M	1862	1,09284M	1862	0	1862	0	
1863	1,29532M	1863	1,09477M	1863	0	1863	0	
1864	1,29802M	1864	1,09066M	1864	0	1864	0	
1865	1,29521M	1865	1,09416M	1865	0	1865	0	
1866	1,29395M	1866	1,09373M	1866	0	1866	0	
1867	1,29233M	1867	1,09617M	1867	0	1867	0	
1868	1,29424M	1868	1,0949M	1868	0	1868	0	
1869	1,2912M	1869	1,09226M	1869	0	1869	0	
1870	1,29918M	1870	1,09508M	1870	0	1870	0	
1871	1,29225M	1871	1,09423M	1871	0	1871	0	
1872	1,29443M	1872	1,09544M	1872	0	1872	0	
1873	1,29273M	1873	1,09147M	1873	0	1873	0	
1874	1,29765M	1874	1,09413M	1874	0	1874	0	
1875	1,29397M	1875	1,08993M	1875	0	1875	0	
1876	1,29496M	1876	1,09059M	1876	0	1876	0	
1877	1,29216M	1877	1,0923M	1877	0	1877	0	
1878	1,29437M	1878	1,09353M	1878	0	1878	0	
1879	1,29421M	1879	1,09434M	1879	0	1879	0	
1880	1,29499M	1880	1,09514M	1880	0	1880	0	
1881	1,29021M	1881	1,09503M	1881	0	1881	0	
1882	1,29122M	1882	1,09494M	1882	0	1882	0	
1883	1,29482M	1883	1,09047M	1883	0	1883	0	
1884	1,29342M	1884	1,09302M	1884	0	1884	0	
1885	1,29655M	1885	1,09248M	1885	0	1885	0	
1886	1,29308M	1886	1,08938M	1886	0	1886	0	
1887	1,29399M	1887	1,0912M	1887	0	1887	0	
1888	1,2899M	1888	1,09364M	1888	0	1888	0	
1889	1,29189M	1889	1,0898M	1889	0	1889	0	
1890	1,29196M	1890	1,0903M	1890	0	1890	0	
1891	1,29252M	1891	1,09178M	1891	0	1891	0	
1892	1,28843M	1892	1,09109M	1892	0	1892	0	
1893	1,28803M	1893	1,09125M	1893	0	1893	0	
1894	1,28814M	1894	1,09096M	1894	0	1894	0	
1895	1,28911M	1895	1,09078M	1895	0	1895	0	
1896	1,2924M	1896	1,09152M	1896	0	1896	0	
1897	1,29283M	1897	1,08971M	1897	0	1897	0	
1898	1,2884M	1898	1,09105M	1898	0	1898	0	
1899	1,29254M	1899	1,08849M	1899	0	1899	0	
1900	1,29292M	1900	1,09338M	1900	0	1900	0	
1901	1,29328M	1901	1,09235M	1901	0	1901	0	
1902	1,2939M	1902	1,09029M	1902	0	1902	0	
1903	1,2913M	1903	1,09371M	1903	0	1903	0	
1904	1,29116M	1904	1,09254M	1904	0	1904	0	
1905	1,29444M	1905	1,08988M	1905	0	1905	0	
1906	1,29154M	1906	1,09338M	1906	0	1906	0	
1907	1,29516M	1907	1,09158M	1907	0	1907	0	
1908	1,29446M	1908	1,09339M	1908	0	1908	0	
1909	1,29222M	1909	1,09128M	1909	0	1909	0	
1910	1,2929M	1910	1,09452M	1910	0	1910	0	
1911	1,29483M	1911	1,09725M	1911	0	1911	0	
1912	1,29335M	1912	1,09486M	1912	0	1912	0	
1913	1,29174M	1913	1,09344M	1913	0	1913	0	
1914	1,29336M	1914	1,0888M	1914	0	1914	0	
1915	1,29297M	1915	1,09118M	1915	0	1915	0	
1916	1,29165M	1916	1,09276M	1916	0	1916	0	
1917	1,28924M	1917	1,0933M	1917	0	1917	0	
1918	1,28875M	1918	1,09877M	1918	0	1918	0	
1919	1,29185M	1919	1,09584M	1919	0	1919	0	
1920	1,29264M	1920	1,0937M	1920	0	1920	0	
1921	1,29355M	1921	1,09405M	1921	0	1921	0	
1922	1,29099M	1922	1,09328M	1922	0	1922	0	
1923	1,2868M	1923	1,09563M	1923	0	1923	0	
1924	1,29367M	1924	1,09577M	1924	0	1924	0	
1925	1,2944M	1925	1,09424M	1925	0	1925	0	
1926	1,29566M	1926	1,09578M	1926	0	1926	0	
1927	1,29154M	1927	1,0901M	1927	0	1927	0	
1928	1,28929M	1928	1,09434M	1928	0	1928	0	
1929	1,28466M	1929	1,08983M	1929	0	1929	0	
1930	1,29314M	1930	1,09033M	1930	0	1930	0	
1931	1,28506M	1931	1,09082M	1931	0	1931	0	
1932	1,28958M	1932	1,09154M	1932	0	1932	0	
1933	1,28901M	1933	1,09063M	1933	0	1933	0	
1934	1,28906M	1934	1,09351M	1934	0	1934	0	
1935	1,2886M	1935	1,09585M	1935	0	1935	0	
1936	1,28766M	1936	1,09249M	1936	0	1936	0	
1937	1,28706M	1937	1,09105M	1937	0	1937	0	
1938	1,28425M	1938	1,09267M	1938	0	1938	0	
1939	1,29381M	1939	1,0999M	1939	0	1939	0	
1940	1,28937M	1940	1,09287M	1940	0	1940	0	
1941	1,29092M	1941	1,09246M	1941	0	1941	0	
1942	1,28852M	1942	1,09293M	1942	0	1942	0	
